Title,Category,Priority,Status,Effort_days,Module,Description,Acceptance,References
"PNG export for paper figures",UI,P2,Backlog,2,ui,"Standard plot -> publication-ready PNG.","SVG and 300dpi PNG both available.",
"LXCat default cross-section bundle (CO2/H2/H2O/CH4)",データ,P1,Backlog,1,plasma.eedf,"Pre-bundle in data/cross_sections.","EEDF runs out-of-the-box for plasma chemistry.","https://lxcat.net"
"Catalyst activation energy literature DB",データ,P1,Backlog,5,chemistry,"Excel/CSV of (catalyst, reaction, Ea, A, T_range).","100+ rows of validated entries.","Lab meeting 2026-04-23"
"NIST Atomic Spectra DB integration",データ,P2,Backlog,3,spectroscopy,"Auto-fetch line data instead of manual xlsx.","add_element('Fe') auto-loads lines.","https://physics.nist.gov/asd"
"Burcat thermo database integration",データ,P2,Backlog,1,thermo,"Fetch and parse Burcat .thr format.","1500+ species available.","http://garfield.chem.elte.hu/Burcat/"
"Condensed-phase species name alias layer",データ,P2,Backlog,2,thermo,"C(s) vs C(gr) name disambiguation.","lookup() resolves all common aliases.",
"Lab experimental data archive (100+ examples)",データ,P1,Backlog,10,docs,"Oscillo + OES + GC triples for benchmark.","100+ validated examples in lab NAS.",
"Kurita power supply specs integration",データ,P2,Backlog,1,qa,"Spec sheet drives 1 kW budget thresholds.","Budget rule references actual hardware limits.",
"GC-MS text output loader (Shimadzu/Agilent)",データ,P2,Backlog,5,chemistry,"Auto-parse vendor formats.","Hayashi-kun's ethanol experiment data ingests directly.",
"Activate GitHub Actions CI",インフラ,P1,Backlog,0.1,infra,"Run gh auth refresh -s workflow then push.","CI yml visible on GitHub.",
"OS x Python matrix CI (Ubuntu/Mac/Win x 3.12/3.13)",インフラ,P1,Backlog,1,infra,"Six-cell matrix per push.","All cells green on main.",
"DuckDB/SQLite long-term experiment storage",インフラ,P2,Backlog,5,infra,"Per Lab meeting 2026-04-23 Koyama task.","Single DB file holds 1000+ runs.",
"Quarto docs site + Cloudflare Pages",インフラ,P2,Backlog,3,docs,"Private docs URL with email allowlist.","docs.nomura-lab.example.jp accessible.",
"Posit Connect Cloud Shiny deployment",インフラ,P2,Backlog,2,infra,"Public URL for collaborators.","Shiny accessible at posit.cloud URL.",
"Docker compose CPU/GPU profiles",インフラ,P3,Backlog,5,infra,"Reproducible runtime.","docker compose up serves the app.",
"uv lock for dependency pinning",インフラ,P2,Backlog,1,infra,"Windows beginner reproducibility.","uv sync installs identical environments.",
"Release workflow (GitHub Release + Zenodo DOI)",インフラ,P3,Backlog,3,infra,"Citable software releases.","Each main commit on tag gets DOI.",
"Video tutorials per tab",文書,P2,Backlog,5,docs,"3-5 min videos per tab.","9 videos covering main workflow.",
"Auto-generate paper Methods section",文書,P1,Backlog,3,docs,"Generate Methods text from session state.","Output is paste-ready for journal.",
"API reference (mkdocstrings)",文書,P2,Backlog,1,docs,"Auto from docstrings.","Read the Docs-style site.",
"docs/theory excerpts of NASA RP-1271/1311",文書,P2,Backlog,2,docs,"Cite original derivations.","Inline math matches PAC91/CEA.",
"Jupyter tutorial notebooks",文書,P2,Backlog,3,docs,"Hands-on learning.","5+ notebooks covering Tier 1-3.",
"Auto-export BibTeX",文書,P3,Backlog,1,docs,"For paper writing.","One-click .bib download.",
"Onboarding PDF for collaborators",文書,P3,Backlog,2,docs,"Self-service onboarding.","Single PDF covers install + first run.",
"Architectural Decision Records (ADRs)",文書,P3,Backlog,2,docs,"Future maintainability.","Each major decision has an ADR.",
"CEA official example 40+ test fixtures",検証,P1,Backlog,5,tests,"Continuous numerical verification.","All examples reproduce CEA output to 1%.","NASA RP-1311"
"BOLSIG+ vs Python two-term solver comparison",検証,P1,Backlog,3,tests,"Quantify accuracy gap.","Mean error <20% reported in docs.","Hagelaar 2005 PSST 14:722"
"Cantera vs CEA-like dual verification UI",検証,P2,Backlog,2,ui,"Show both solutions side by side.","Difference flagged when >5%.",
"Performance scaling test (100/500/1000 species)",検証,P2,Backlog,2,tests,"Track scaling behavior.","Benchmark plot in CI artifact.",
"Property-based testing (Hypothesis) for SLSQP",検証,P3,Backlog,3,tests,"Edge case discovery.","100+ generated cases pass.",
"NASA polynomial vs JANAF exhaustive verification",検証,P2,Backlog,3,tests,"50 species Cp at 5 temperatures matches JANAF.","All within 1%.",
"UI snapshot tests (Playwright)",検証,P3,Backlog,5,tests,"Prevent UI regression.","Each tab snapshot in CI.",
"Embed numerical-verification script in CI",検証,P1,Backlog,1,infra,"Self-consistency check on every push.","CI runs the critique-report code.",
